Bandgap (eV),Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),J0 (mA/cm^2)
0.754,0.537496590808,57.503889255,81.3197893069,25.1344379314,5.37215883216e-08
0.756,0.53930768891,57.3780999953,81.3650965133,25.1779820169,4.99772860979e-08
0.758,0.541117571622,57.2491475008,81.4101055759,25.2196455717,4.64933487821e-08
0.76,0.542925276162,57.1149310184,81.454228052,25.2582553651,4.32517168221e-08
0.762,0.544732918904,56.9801571984,81.4979019744,25.296107185,4.02355799428e-08
0.764,0.546540680697,56.845232844,81.542475767,25.3338057561,3.74292909783e-08
0.766,0.548349033571,56.7111996886,81.5862440857,25.3713079884,3.48182856303e-08
0.768,0.550158366731,56.5789083637,81.6292237818,25.4090222022,3.23890077433e-08
0.77,0.551970885647,56.4531676424,81.6727523566,25.4496420337,3.01288397211e-08
0.772,0.553784113939,56.3285427442,81.7162884602,25.4904581909,2.80260377309e-08
0.774,0.555597605294,56.2040607218,81.7590503357,25.5307690969,2.60696713665e-08
0.776,0.557410013166,56.0768044059,81.8010061689,25.5691722328,2.42495674662e-08
0.778,0.559219082562,55.941917503,81.8441070919,25.6039367753,2.25562577978e-08
0.78,0.561030539883,55.8118212873,81.8865022597,25.6404131405,2.09809303483e-08
0.782,0.562842643766,55.6827363533,81.9281451989,25.6767874647,1.95153839685e-08
0.784,0.564654762146,55.5533021854,81.9697637065,25.7126333856,1.81519861432e-08
0.786,0.566470979909,55.4322841344,82.0119594766,25.752395225,1.68836336721e-08
0.788,0.568288530814,55.3137127127,82.0534500141,25.7928033526,1.57037160617e-08
0.79,0.570104456628,55.1912607343,82.0941697254,25.8307529439,1.46060814409e-08
0.792,0.571917996189,55.0633370926,82.1354126187,25.8658487528,1.35850048287e-08
0.794,0.57372961719,54.9309780825,82.1765014294,25.8983591615,1.26351585898e-08
0.796,0.575541301834,54.798421824,82.216856339,25.9301729183,1.17515849302e-08
0.798,0.577353930055,54.6675351371,82.2565415354,25.9622342953,1.09296702908e-08
0.8,0.579167070409,54.5374005092,82.2973899842,25.994672907,1.01651215081e-08
0.802,0.580979787117,54.4060477399,82.3375129812,26.0259113583,9.45394362242e-09
0.804,0.582793095694,54.2756221921,82.3769352096,26.0570255621,8.79241921802e-09
0.806,0.584607261858,54.1466782763,82.4162962916,26.0885005689,8.1770891908e-09
0.808,0.586422317349,54.0192762302,82.4562236025,26.1205725125,7.60473484501e-09
0.81,0.588238506369,53.8939186627,82.4954828679,26.1531124858,7.07236122732e-09
0.812,0.59005571529,53.7703593235,82.5340793698,26.1860064961,6.57718161316e-09
